epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,156.224,1.91068,3.39491,1.75727,0.1584,0.28138,0.14172,0.0549,2.37919,8.4117,2.12772,0.00024293,0.00024293,0.00024293
2,342.778,1.59743,2.4596,1.53211,0.1437,0.21212,0.16021,0.06064,2.58988,4.77167,2.46047,0.000500028,0.000500028,0.000500028
3,500.089,1.46866,2.19583,1.44174,0.34346,0.30303,0.31769,0.13407,2.72351,4.30053,2.67298,0.00075663,0.00075663,0.00075663
4,665.573,1.5359,2.2573,1.42262,0.2878,0.12121,0.15764,0.05295,2.77558,8.62874,2.82019,0.00101236,0.00101236,0.00101236
5,809.961,1.44285,2.14166,1.44962,0.08642,0.07815,0.02101,0.00533,2.82289,4.68772,2.87732,0.00126685,0.00126685,0.00126685
6,977.433,1.53145,2.05811,1.50937,0.29608,0.12121,0.12539,0.04942,2.71103,4.22205,2.66467,0.00142029,0.00142029,0.00142029
7,1167.48,1.42565,1.86429,1.44302,0.09983,0.24402,0.09127,0.03988,2.99058,16.4857,3.36584,0.00141647,0.00141647,0.00141647
8,1334.72,1.43538,1.64157,1.43151,0.26879,0.09091,0.0845,0.04379,3.28989,20.3862,3.70492,0.00141196,0.00141196,0.00141196
9,1507.75,1.48348,1.75507,1.44457,0.33763,0.12121,0.15462,0.06224,3.08767,4.25715,3.11479,0.00140678,0.00140678,0.00140678
10,1656.34,1.48948,1.74547,1.47556,0.05635,0.33493,0.06817,0.02504,3.23344,13.5326,3.6182,0.00140091,0.00140091,0.00140091
11,1797.77,1.38071,1.48882,1.35323,0.14757,0.126,0.07808,0.0238,3.45761,5.98772,3.58647,0.00139438,0.00139438,0.00139438
12,1951.9,1.41433,1.67686,1.42316,0.13527,0.1866,0.08618,0.03609,2.84899,3.88789,2.84275,0.00138718,0.00138718,0.00138718
13,2113.98,1.42352,1.57374,1.4197,0.41326,0.18182,0.21009,0.10162,2.81381,4.47576,3.07003,0.00137933,0.00137933,0.00137933
14,2251.78,1.42247,1.4662,1.40706,0.28424,0.25486,0.15803,0.04844,2.95485,6.2063,3.06702,0.00137082,0.00137082,0.00137082
15,2399.13,1.4424,1.46769,1.4176,0.18278,0.19936,0.10623,0.03206,3.0746,4.19412,3.29884,0.00136168,0.00136168,0.00136168
16,2543.11,1.35637,1.41119,1.38397,0.6682,0.16684,0.21679,0.07613,2.92946,3.88739,3.08114,0.0013519,0.0013519,0.0013519
17,2686.5,1.41193,1.46586,1.42425,0.18118,0.24242,0.20845,0.07281,2.84685,3.64591,3.0065,0.0013415,0.0013415,0.0013415
18,2845.9,1.38587,1.33602,1.35076,0.34803,0.24242,0.26321,0.105,2.78379,3.03861,2.86117,0.0013305,0.0013305,0.0013305
19,3028.36,1.31471,1.23322,1.32957,0.28872,0.29506,0.23777,0.10311,2.72618,2.90717,2.75055,0.00131888,0.00131888,0.00131888
20,3210.53,1.26316,1.3487,1.32255,0.29735,0.47368,0.31487,0.1398,2.74894,3.18228,2.89413,0.00130668,0.00130668,0.00130668
21,3372.72,1.23472,1.21537,1.26632,0.31452,0.37799,0.22257,0.07988,2.91598,3.36389,3.20677,0.00129391,0.00129391,0.00129391
